"Table 219.10. High school graduates, by sex and control of school; public high school averaged freshman graduation rate  
"2019-20\12\ ","3,635,620","---","---","3,300,630","","---","","---","","334,980","","---","4,169,359","87.2"
"2020-21\12\ ","3,669,350","---","---","3,337,640","","---","","---","","331,710","","---","4,166,793","88.1"
"2021-22\12\ ","3,669,720","---","---","3,343,180","","---","","---","","326,540","","---","4,173,685","87.9"
"2022-23\12\ ","3,684,340","---","---","3,358,200","","---","","---","","326,140","","---","---","---"
"2023-24\12\ ","3,733,330","---","---","3,342,590","","---","","---","","390,740","","---","---","---"
"2024-25\12\ ","3,798,180","---","---","3,456,870","","---","","---","","341,310","","---","---","---"
"2025-26\12\ ","3,793,380","---","---","3,444,390","","---","","---","","348,990","","---","---","---"
"2026-27\12\ ","3,699,790","---","---","3,364,860","","---","","---","","334,940","","---","---","---"
"2027-28\12\ ","3,624,500","---","---","3,288,980","","---","","---","","335,520","","---","---","---"
"2028-29\12\ ","3,590,570","---","---","3,266,770","","---","","---","","323,800","","---","---","---"
"2029-30\12\ ","3,552,640","---","---","3,210,730","","---","","---","","341,910","","---","---","---"
"2030-31\12\ ","3,548,650","---","---","3,215,840","","---","","---","","332,810","","---","---","---"
"---Not available.","","","","","","","","","","","","","",""
"\1\Includes graduates of public and private schools.    ","","","","","","","","","","","","","",""
"\2\Includes estimates for states not reporting counts of graduates by sex. ","","","","","","","","","","","","","",""
"\3\The averaged freshman graduation rate provides an estimate of the percentage of students who receive a regular diploma within 4 years of entering ninth grade. The rate uses aggregate student enrollment data to estimate the size of an incoming freshman class and aggregate counts of the number of diplomas awarded 4 years later. Averaged freshman graduation rates in this table are based on reported totals of enrollment by grade and high school graduates, rather than on details reported by race/ethnicity.","","","","","","","","","","","","","",""
"\4\Derived from Current Population Reports, Series P-25. For years 1869-70 through 1989-90, 17-year-old population is an estimate of the October 17-year-old population based on July data. Data for 1990-91 and later years are October resident population estimates prepared by the Census Bureau.     ","","","","","","","","","","","","","",""
"\5\Based on persons of all ages graduating from high school in a given year divided by the 17-year-old population in the same year. This ratio allows for comparisons over time but does not provide a measure of graduation rates for incoming freshmen who form a cohort (or class) that is scheduled to graduate 4 years later. The ratio of high school graduates to the 17-year-old population differs from measures such as the AFGR, which are designed to estimate high school cohort graduation rates.","","","","","","","","","","","","","",""
"\6\Data for 1929-30 and preceding years are from Statistics of Public High Schools and exclude graduates from high schools that failed to report to the Office of Education.","","","","","","","","","","","","","",""
"\7\Estimated based on data appearing in Projections of Education Statistics and Biennial Survey in the United States, Statistical Summary of Education, 1949-50.","","","","","","","","","","","","","",""
"\8\Includes imputations for nonreporting states.","","","","","","","","","","","","","",""
"\9\Projected by private schools responding to the Private School Universe Survey.","","","","","","","","","","","","","",""
"\10\Includes estimates for public schools in New York and Wisconsin. Without estimates for these two states, the averaged freshman graduation rate for the remaining 48 states and the District of Columbia is 75.0 percent.","","","","","","","","","","","","","",""
"\11\Includes estimate for Connecticut, which did not report graduates by sex.   ","","","","","","","","","","","","","",""
"\12\Number of high school graduates is projected by the National Center for Education Statistics (NCES) unless otherwise noted.","","","","","","","","","","","","","",""
"\13\Private school data are actual.","","","","","","","","","","","","","",""
"NOTE: Data in this table represent the 50 states and the District of Columbia. Includes graduates of regular day school programs. Excludes graduates of other programs, when separately reported, and recipients of high school equivalency certificates. Projections in this table were calculated after the onset of the coronavirus pandemic and take into account the expected impacts of the pandemic. Some data have been revised from previously published figures. Detail may not sum to totals because of rounding and adjustments to protect student privacy.","","","","","","","","","","","","","",""
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Annual Report of the Commissioner of Education, 1870 through 1910; Statistics of Public High Schools, 1889-90 through 1929-30; Biennial Survey of Education in the United States, 1919-20 through 1949-50; Statistics of Public Elementary and Secondary School Systems, 1958-59 through 1979-80; Statistics of Nonpublic Elementary and Secondary Schools, 1959 through 1980; Common Core of Data (CCD), ""State Nonfiscal Survey of Public Elementary/Secondary Education,"" 1985-86 through 2009-10; ""State Dropout and Completion Data File,"" 2005-06 through 2012-13; Public School Graduates and Dropouts from the Common Core of Data, 2007-08 and 2008-09; Private School Universe Survey (PSS), 1989 through 2019; and National High School Graduates Projection Model, through 2030-31. U.S. Department of Commerce, Census Bureau, Current Population Reports, Series P-25, Nos. 1000, 1022, 1045, 1057, 1059, 1092, and 1095; 2000 through 2009 Population Estimates, retrieved August 14, 2012, from http://www.census.gov/popest/data/national/asrh/2011/index.html; and 2010 through 2021 Population Estimates, retrieved October 11, 2021, from https://www.census.gov/programs-surveys/popest/technical-documentation/research/evaluation-estimates/2020-evaluation-estimates/2010s-national-detail.html. (This table was prepared November 2021.)","","","","","","","","","","","","","",""
