Indicator,Year of Year_Rev,Definition,Year,Value
Waiting For Adoption,2018,"This is an estimated count of all children who are waiting to be adopted on the last day of the FY. An individual child is included in the count for each year in which he or she is waiting to be adopted on the last day. There is no Federal definition for children waiting to be adopted. For the purposes of this analysis, children waiting to be adopted include children with a goal of adoption and/or whose parental rights have been terminated. The “waiting” population excludes children whose parents' rights have been terminated, who are 16 years old and older, and who have a goal of emancipation. An individual child is included in the count for each year that he or she has these characteristics on the last day of the year.",2018,127000
Waiting For Adoption,2019,"This is an estimated count of all children who are waiting to be adopted on the last day of the FY. An individual child is included in the count for each year in which he or she is waiting to be adopted on the last day. There is no Federal definition for children waiting to be adopted. For the purposes of this analysis, children waiting to be adopted include children with a goal of adoption and/or whose parental rights have been terminated. The “waiting” population excludes children whose parents' rights have been terminated, who are 16 years old and older, and who have a goal of emancipation. An individual child is included in the count for each year that he or she has these characteristics on the last day of the year.",2019,124000
Waiting For Adoption,2020,"This is an estimated count of all children who are waiting to be adopted on the last day of the FY. An individual child is included in the count for each year in which he or she is waiting to be adopted on the last day. There is no Federal definition for children waiting to be adopted. For the purposes of this analysis, children waiting to be adopted include children with a goal of adoption and/or whose parental rights have been terminated. The “waiting” population excludes children whose parents' rights have been terminated, who are 16 years old and older, and who have a goal of emancipation. An individual child is included in the count for each year that he or she has these characteristics on the last day of the year.",2020,117000
Waiting For Adoption,2021,"This is an estimated count of all children who are waiting to be adopted on the last day of the FY. An individual child is included in the count for each year in which he or she is waiting to be adopted on the last day. There is no Federal definition for children waiting to be adopted. For the purposes of this analysis, children waiting to be adopted include children with a goal of adoption and/or whose parental rights have been terminated. The “waiting” population excludes children whose parents' rights have been terminated, who are 16 years old and older, and who have a goal of emancipation. An individual child is included in the count for each year that he or she has these characteristics on the last day of the year.",2021,114000
Parental Rights Terminated,2012,This is an estimated count of all children in care on the last day of the FY whose parental rights have been terminated and who are waiting for adoption. An individual child who has these characteristics on the last day of the year is counted only once for that year.,2012,58400
Parental Rights Terminated,2013,This is an estimated count of all children in care on the last day of the FY whose parental rights have been terminated and who are waiting for adoption. An individual child who has these characteristics on the last day of the year is counted only once for that year.,2013,58900
Parental Rights Terminated,2014,This is an estimated count of all children in care on the last day of the FY whose parental rights have been terminated and who are waiting for adoption. An individual child who has these characteristics on the last day of the year is counted only once for that year.,2014,61200
Parental Rights Terminated,2015,This is an estimated count of all children in care on the last day of the FY whose parental rights have been terminated and who are waiting for adoption. An individual child who has these characteristics on the last day of the year is counted only once for that year.,2015,62200
Parental Rights Terminated,2016,This is an estimated count of all children in care on the last day of the FY whose parental rights have been terminated and who are waiting for adoption. An individual child who has these characteristics on the last day of the year is counted only once for that year.,2016,65500
Parental Rights Terminated,2017,This is an estimated count of all children in care on the last day of the FY whose parental rights have been terminated and who are waiting for adoption. An individual child who has these characteristics on the last day of the year is counted only once for that year.,2017,69900
Parental Rights Terminated,2018,This is an estimated count of all children in care on the last day of the FY whose parental rights have been terminated and who are waiting for adoption. An individual child who has these characteristics on the last day of the year is counted only once for that year.,2018,72000
Parental Rights Terminated,2019,This is an estimated count of all children in care on the last day of the FY whose parental rights have been terminated and who are waiting for adoption. An individual child who has these characteristics on the last day of the year is counted only once for that year.,2019,71900
Parental Rights Terminated,2020,This is an estimated count of all children in care on the last day of the FY whose parental rights have been terminated and who are waiting for adoption. An individual child who has these characteristics on the last day of the year is counted only once for that year.,2020,63800
Parental Rights Terminated,2021,This is an estimated count of all children in care on the last day of the FY whose parental rights have been terminated and who are waiting for adoption. An individual child who has these characteristics on the last day of the year is counted only once for that year.,2021,65000
Adopted,2012,"This is an estimated count of all children adopted with public child welfare agency involvement during the FY. An individual child is counted only once for each year, even if (in rare cases) the child was adopted multiple times during the year. In cases when an individual child is adopted in one year and then adopted again in a subsequent year, he or she is included in the count of adoptions for both years.",2012,52000
Adopted,2013,"This is an estimated count of all children adopted with public child welfare agency involvement during the FY. An individual child is counted only once for each year, even if (in rare cases) the child was adopted multiple times during the year. In cases when an individual child is adopted in one year and then adopted again in a subsequent year, he or she is included in the count of adoptions for both years.",2013,50800
Adopted,2014,"This is an estimated count of all children adopted with public child welfare agency involvement during the FY. An individual child is counted only once for each year, even if (in rare cases) the child was adopted multiple times during the year. In cases when an individual child is adopted in one year and then adopted again in a subsequent year, he or she is included in the count of adoptions for both years.",2014,50700
Adopted,2015,"This is an estimated count of all children adopted with public child welfare agency involvement during the FY. An individual child is counted only once for each year, even if (in rare cases) the child was adopted multiple times during the year. In cases when an individual child is adopted in one year and then adopted again in a subsequent year, he or she is included in the count of adoptions for both years.",2015,53500
Adopted,2016,"This is an estimated count of all children adopted with public child welfare agency involvement during the FY. An individual child is counted only once for each year, even if (in rare cases) the child was adopted multiple times during the year. In cases when an individual child is adopted in one year and then adopted again in a subsequent year, he or she is included in the count of adoptions for both years.",2016,57200
Adopted,2017,"This is an estimated count of all children adopted with public child welfare agency involvement during the FY. An individual child is counted only once for each year, even if (in rare cases) the child was adopted multiple times during the year. In cases when an individual child is adopted in one year and then adopted again in a subsequent year, he or she is included in the count of adoptions for both years.",2017,59500
Adopted,2018,"This is an estimated count of all children adopted with public child welfare agency involvement during the FY. An individual child is counted only once for each year, even if (in rare cases) the child was adopted multiple times during the year. In cases when an individual child is adopted in one year and then adopted again in a subsequent year, he or she is included in the count of adoptions for both years.",2018,63100
Adopted,2019,"This is an estimated count of all children adopted with public child welfare agency involvement during the FY. An individual child is counted only once for each year, even if (in rare cases) the child was adopted multiple times during the year. In cases when an individual child is adopted in one year and then adopted again in a subsequent year, he or she is included in the count of adoptions for both years.",2019,66200
Adopted,2020,"This is an estimated count of all children adopted with public child welfare agency involvement during the FY. An individual child is counted only once for each year, even if (in rare cases) the child was adopted multiple times during the year. In cases when an individual child is adopted in one year and then adopted again in a subsequent year, he or she is included in the count of adoptions for both years.",2020,57900
Adopted,2021,"This is an estimated count of all children adopted with public child welfare agency involvement during the FY. An individual child is counted only once for each year, even if (in rare cases) the child was adopted multiple times during the year. In cases when an individual child is adopted in one year and then adopted again in a subsequent year, he or she is included in the count of adoptions for both years.",2021,54200
